MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,RainTomorrow
8,24.3,0,3.4,6.3,NW,Yes
14,26.9,3.6,4.4,9.7,ENE,Yes
13.7,23.4,3.6,5.8,3.3,NW,Yes
13.3,15.5,39.8,7.2,9.1,NW,Yes
7.6,16.1,2.8,5.6,10.6,SSE,No
6.2,16.9,0,5.8,8.2,SE,No
6.1,18.2,0.2,4.2,8.4,SE,No
8.3,17,0,5.6,4.6,E,No
8.8,19.5,0,4,4.1,S,Yes
8.4,22.8,16.2,5.4,7.7,E,No
9.1,25.2,0,4.2,11.9,N,No
8.5,27.3,0.2,7.2,12.5,E,No
10.1,27.9,0,7.2,13,WNW,No
12.1,30.9,0,6.2,12.4,NW,No
10.1,31.2,0,8.8,13.1,NW,No
12.4,32.1,0,8.4,11.1,E,No
13.8,31.2,0,7.2,8.4,ESE,Yes
11.7,30,1.2,7.2,10.1,S,No
12.4,32.3,0.6,7.4,13,E,No
15.6,33.4,0,8,10.4,NE,No
15.3,33.4,0,8.8,9.5,WNW,No
16.4,19.4,0.4,9.2,0,E,Yes
12.8,18.5,25.8,2.8,0.6,ESE,No
12,24.3,0.4,1.2,7.5,NNE,No
15.4,28.4,0,4.4,8.1,ENE,No
15.6,26.9,0,6.8,8.9,E,No
13.3,22.2,0.2,6.6,2.3,ENE,No
12.9,28,0,4.4,10.7,S,No
15.1,24.3,0,7,0.4,SE,No
